num,date,review,rating,like
180,2021년 04월 11일,"여러가지 한번에 살 수 있고, 할인쿠폰도 활용할 수 있어 좋아요",4,
181,2021년 04월 11일,장보면 배송이 빠르게 와서 제일 만족합니다.,3,
182,2021년 04월 11일,이번에 친구선물을 롯데온에서 싸게 샀어요!! 완전 강추강추 합니다~,5,
183,2021년 04월 11일,토리버치랑 지방시랑 다 거의 50% 가까운 가격으로 할인되네요,4,
184,2021년 04월 11일,여러가지 물건을 한번에 살 수 있어서 좋네요.,3,
185,2021년 04월 11일,어플전용 혜택이 지금도 좋지만 더더 많아지면 더 좋을 거 같아요,5,
186,2021년 04월 11일,초창기 보다 훨씬 좋아져서 잘쓰고 있습니다,5,
187,2021년 04월 11일,"화면이 보기 편하고, 광고 많이 없어서 좋아요",3,
188,2021년 04월 11일,Good,4,
189,2021년 04월 11일,다른 앱보다 여기가 더 좀 편리하고 괜찮은 듯,3,
190,2021년 04월 10일,저는 어플에 만족합니다~,5,
191,2021년 04월 10일,빠른배송 좋아요,5,
192,2021년 04월 10일,물건사기에 문제없이 앱이 깔끔해서 좋네요.,3,
193,2021년 04월 10일,제품도 많고 검색하기 좋네요.,4,
194,2021년 04월 10일,여기서 물건 사기 전에 후기 보는 재미 쏠쏠,3,
195,2021년 04월 10일,"거의 맨날 접속, 중독중",4,
196,2021년 04월 10일,이번에 특가로 구매했어요 넘 좋네요,5,
197,2021년 04월 10일,"백화점, 마트, 올리브영, 전자랜드 합친 듯 ㅋ",5,
198,2021년 04월 10일,특히 과일이 고퀄이라 장볼 때 씁니다.,4,
199,2021년 04월 10일,저렴하고 품질좋은 행사상품들이 많아요~~ 앞으로도 계속 해주세요!!,5,
200,2021년 04월 10일,"물건 찾기가 쉽고, 주문도 쉽네요",4,
201,2021년 04월 10일,짜증나는 팝업이나 광고가 별로 없어서 만족합니다.,5,
202,2021년 04월 10일,사용방법이 친절하게 나와서 처음인데 무리없이 썼네요,3,
203,2021년 04월 10일,싸고 좋은상품들이 많은 거 같아용,5,
204,2021년 04월 10일,만족합니다,5,
205,2021년 04월 10일,괜찮은 거 같아요,4,
206,2021년 04월 09일,여기 지금 만다리나덕 쌈,4,
207,2021년 04월 09일,자주 주문하게 되네요^^,5,
208,2021년 04월 09일,여기 후기 진짜 레알,4,
209,2021년 04월 09일,특가 상품 좋네요. 미리 볼 수 있으면 더 좋을 듯,3,
210,2021년 04월 09일,할인 많이되서 좋아용,5,
211,2021년 04월 09일,설치후 잘사용하였는데 어제부터갑자기 종료되는 현상이 발생 첨엔 네트워크 접속 오류라고 웹으로 하던지 다시 앱을 열기 버튼이 나옴 앱여는 버튼은 안눌러지고 웹으로는 사용가능 제거후 재설치 하면 앱이 열리고 검색도 가능함 다른앱으로 전환했다가 다시 앱을 사용하면 강제 종료됨 제거후 재설치 자동로그인 해제하고 들어갈때마다 로그인할려고 했으나 로그인 화면에서 강제종료됨 ㅡㅡ 앱에 버그가 다수 존재함,1,
212,2021년 04월 12일,환불2주째 안되는중 ㅋㅋㅋㅋ 진짜없어져야될듯 씨제이택배 원래하루이틀만에 가져가는데 일주일동안 반품회수지시만 뜨고 문의글남기니까 그제서야 처리되어서 가져가는데만 일주일넘게걸림,1,
213,2021년 04월 09일,앱전용 쿠폰이나 할인혜택이 많은 거 같아용^^ 자주 애용하겠습니다~,5,
214,2021년 04월 09일,적립금 바로바로 쓸 수 있어서 좋네요.,5,
215,2021년 04월 09일,"직관적으로 디자인되서, 엄마가 쓰기에도 문제 없네요.",5,
216,2021년 04월 09일,매장 픽업하면 가격 더 다운되네요. 괜찮아요,5,
217,2021년 04월 09일,"거의 필요한 거 다 있음, 파는 물건은 진짜 많네요.",5,
218,2021년 04월 09일,"결재할 때 롯데 카드, 포인트, 쿠폰 할인 겁나 많음",3,
219,2021년 04월 09일,만족합니다~,4,
220,2021년 04월 09일,어플에서 백화점이랑 마트랑 다 사용 가능하네요^^ 매우 편리합니다,5,
221,2021년 04월 09일,매일매일 사용하는데 좋아요!,5,
222,2021년 04월 09일,고퀄 제품이 많아서 앱쇼핑해도 후회하는 일 별로 없음,3,
223,2021년 04월 08일,앱이 점점 개선되어가고 있는게 보여요~!! 감사합니다,5,
224,2021년 04월 08일,"마트 장보는 거랑 그냥 쇼핑이랑 다 여기서하면 될 듯, 할인 만족",4,
225,2021년 04월 08일,할인혜택을 받아서 좋아용,5,
226,2021년 04월 08일,좋아요,4,
227,2021년 04월 08일,"하이마트 제품까지 살 수 있어서, 일단 제품력 최고",3,
228,2021년 04월 08일,"쿠폰을 주면 뭐하나 쓸 수가 없는데 인터넷연결 안돼 있다고 확인하라고 계속,지우고 다시 까니 열리긴 하는데 화면 터치할 때 마다 닫혀 버리니 뭘 볼 수도 주문할 수도 없음 이 회사가 속은 엉망이라는 말은 들었지만 앱 최악+댓글보니 이런 불만이 하루이틀도 아닌데 수정하지 않는 건지 못하는 건지 GS fresh 앱이 장바구니에서 상품 하나 체크할 때 마다 로딩 오래 걸려서 짜증난다 했는데 롯데온은 더더더 최악",1,8
229,2021년 04월 08일,"간단한 단순 (사이즈,등)교환 안되어 반품과 재구매 해야함. 반품이 엄청 불편하고 까다롭고 짜증나고 기간도 아주 오래걸림. 반품조건에도 해당사항은 없음. 재구매는 바로 (배송)옴. 그런데 반품은 회수에만 수일, 반품 정산에 수일 이상 걸림. 불안해서 다신 여기서 구매 안하려고 함.",1,40
230,2021년 04월 08일,"디자인이 깔끔하고, 사용하기에 괜찮네요.",3,
231,2021년 04월 08일,만족합니다,5,
232,2021년 04월 08일,첫구매 할인이랑 쿠폰이랑 다 쓰면 앱 다운로드 받을만 함,4,
